threshold,oof_precision,oof_recall,oof_f1,oof_specificity,hard_precision,hard_recall,hard_f1,hard_specificity,hard_accuracy
0.525,0.5775862068965517,0.5630252100840336,0.5702127659574467,0.776255707762557,0.6764705882352942,0.92,0.7796610169491526,0.56,0.74
0.53,0.5775862068965517,0.5630252100840336,0.5702127659574467,0.776255707762557,0.6764705882352942,0.92,0.7796610169491526,0.56,0.74
0.533333,0.5775862068965517,0.5630252100840336,0.5702127659574467,0.776255707762557,0.6764705882352942,0.92,0.7796610169491526,0.56,0.74
0.535,0.6056338028169014,0.36134453781512604,0.4526315789473684,0.8721461187214612,0.782608695652174,0.72,0.7499999999999999,0.8,0.76
0.54,0.6056338028169014,0.36134453781512604,0.4526315789473684,0.8721461187214612,0.782608695652174,0.72,0.7499999999999999,0.8,0.76
0.542857,0.6056338028169014,0.36134453781512604,0.4526315789473684,0.8721461187214612,0.782608695652174,0.72,0.7499999999999999,0.8,0.76
0.545,0.6666666666666666,0.20168067226890757,0.30967741935483867,0.9452054794520548,0.9,0.72,0.7999999999999999,0.92,0.82
0.55,0.6666666666666666,0.20168067226890757,0.30967741935483867,0.9452054794520548,0.9,0.72,0.7999999999999999,0.92,0.82
0.555,0.6666666666666666,0.20168067226890757,0.30967741935483867,0.9452054794520548,0.9,0.72,0.7999999999999999,0.92,0.82
0.56,0.6666666666666666,0.20168067226890757,0.30967741935483867,0.9452054794520548,0.9,0.72,0.7999999999999999,0.92,0.82
0.5650000000000001,0.6666666666666666,0.20168067226890757,0.30967741935483867,0.9452054794520548,0.9,0.72,0.7999999999999999,0.92,0.82
0.5700000000000001,0.6666666666666666,0.20168067226890757,0.30967741935483867,0.9452054794520548,0.9,0.72,0.7999999999999999,0.92,0.82
0.5750000000000001,0.6666666666666666,0.20168067226890757,0.30967741935483867,0.9452054794520548,0.9,0.72,0.7999999999999999,0.92,0.82
0.58,0.6666666666666666,0.20168067226890757,0.30967741935483867,0.9452054794520548,0.9,0.72,0.7999999999999999,0.92,0.82
0.585,0.6666666666666666,0.20168067226890757,0.30967741935483867,0.9452054794520548,0.9,0.72,0.7999999999999999,0.92,0.82
0.59,0.6666666666666666,0.20168067226890757,0.30967741935483867,0.9452054794520548,0.9,0.72,0.7999999999999999,0.92,0.82
0.590909,0.6666666666666666,0.20168067226890757,0.30967741935483867,0.9452054794520548,0.9,0.72,0.7999999999999999,0.92,0.82
0.595,0.7857142857142857,0.09243697478991597,0.16541353383458646,0.9863013698630136,0.75,0.12,0.20689655172413793,0.96,0.54
0.6,0.7857142857142857,0.09243697478991597,0.16541353383458646,0.9863013698630136,0.75,0.12,0.20689655172413793,0.96,0.54
0.605,0.7857142857142857,0.09243697478991597,0.16541353383458646,0.9863013698630136,0.75,0.12,0.20689655172413793,0.96,0.54
0.61,0.7857142857142857,0.09243697478991597,0.16541353383458646,0.9863013698630136,0.75,0.12,0.20689655172413793,0.96,0.54
0.615,0.7857142857142857,0.09243697478991597,0.16541353383458646,0.9863013698630136,0.75,0.12,0.20689655172413793,0.96,0.54
0.62,0.7857142857142857,0.09243697478991597,0.16541353383458646,0.9863013698630136,0.75,0.12,0.20689655172413793,0.96,0.54
0.625,0.7857142857142857,0.09243697478991597,0.16541353383458646,0.9863013698630136,0.75,0.12,0.20689655172413793,0.96,0.54
0.63,0.7857142857142857,0.09243697478991597,0.16541353383458646,0.9863013698630136,0.75,0.12,0.20689655172413793,0.96,0.54
0.635,0.7857142857142857,0.09243697478991597,0.16541353383458646,0.9863013698630136,0.75,0.12,0.20689655172413793,0.96,0.54
0.64,0.7857142857142857,0.09243697478991597,0.16541353383458646,0.9863013698630136,0.75,0.12,0.20689655172413793,0.96,0.54
0.645,0.7857142857142857,0.09243697478991597,0.16541353383458646,0.9863013698630136,0.75,0.12,0.20689655172413793,0.96,0.54
0.65,0.7857142857142857,0.09243697478991597,0.16541353383458646,0.9863013698630136,0.75,0.12,0.20689655172413793,0.96,0.54
